产品编号,产品名称,交易码,交易名称,渠道,最小金额,最大金额,折扣率
166802,浙商沪深300指数分级,200208,定期定额处理,低柜,0.00,"1,000,000.00",0.8000
166802,浙商沪深300指数分级,200208,定期定额处理,低柜,"1,000,000.00","2,000,000.00",0.8000
166802,浙商沪深300指数分级,200208,定期定额处理,低柜,"2,000,000.00","5,000,000.00",1.0000
166802,浙商沪深300指数分级,200208,定期定额处理,低柜,"5,000,000.00","9,999,999,999.00",1.0000
202001,南方稳健成长混合,100201,产品申购,网银,0.00,"200,000,000.00",0.4000
202001,南方稳健成长混合,100208,定期定额开通,网银,0.00,"200,000,000.00",0.4000
202001,南方稳健成长混合,100208,定期定额开通,低柜,0.00,"200,000,000.00",0.8000
202001,南方稳健成长混合,100209,定期定额修改,网银,0.00,"200,000,000.00",0.4000
202001,南方稳健成长混合,100209,定期定额修改,低柜,0.00,"200,000,000.00",0.8000
202001,南方稳健成长混合,100232,定期不定额开通,网银,0.00,"200,000,000.00",0.4000
202001,南方稳健成长混合,100232,定期不定额开通,低柜,0.00,"200,000,000.00",0.8000
202001,南方稳健成长混合,100233,定期不定额修改,网银,0.00,"200,000,000.00",0.4000
202001,南方稳健成长混合,100233,定期不定额修改,低柜,0.00,"200,000,000.00",0.8000
202001,南方稳健成长混合,200208,定期定额处理,网银,0.00,"200,000,000.00",0.4000
202001,南方稳健成长混合,200208,定期定额处理,低柜,0.00,"200,000,000.00",0.8000
202002,南方稳健成长贰号混合,100201,产品申购,网银,0.00,"200,000,000.00",0.4000
202002,南方稳健成长贰号混合,100208,定期定额开通,网银,0.00,"200,000,000.00",0.4000
202002,南方稳健成长贰号混合,100208,定期定额开通,低柜,0.00,"200,000,000.00",0.8000
202002,南方稳健成长贰号混合,100209,定期定额修改,网银,0.00,"200,000,000.00",0.4000
202002,南方稳健成长贰号混合,100209,定期定额修改,低柜,0.00,"200,000,000.00",0.8000
202002,南方稳健成长贰号混合,100232,定期不定额开通,网银,0.00,"200,000,000.00",0.4000
202002,南方稳健成长贰号混合,100232,定期不定额开通,低柜,0.00,"200,000,000.00",0.8000
202002,南方稳健成长贰号混合,100233,定期不定额修改,网银,0.00,"200,000,000.00",0.4000
202002,南方稳健成长贰号混合,100233,定期不定额修改,低柜,0.00,"200,000,000.00",0.8000
202002,南方稳健成长贰号混合,200208,定期定额处理,网银,0.00,"200,000,000.00",0.4000
202002,南方稳健成长贰号混合,200208,定期定额处理,低柜,0.00,"200,000,000.00",0.8000
202003,南方绩优成长股票,100201,产品申购,网银,0.00,"200,000,000.00",0.4000
202003,南方绩优成长股票,100208,定期定额开通,网银,0.00,"200,000,000.00",0.4000
202003,南方绩优成长股票,100208,定期定额开通,低柜,0.00,"200,000,000.00",0.8000
202003,南方绩优成长股票,100209,定期定额修改,网银,0.00,"200,000,000.00",0.4000
202003,南方绩优成长股票,100209,定期定额修改,低柜,0.00,"200,000,000.00",0.8000
202003,南方绩优成长股票,100232,定期不定额开通,网银,0.00,"200,000,000.00",0.4000
202003,南方绩优成长股票,100232,定期不定额开通,低柜,0.00,"200,000,000.00",0.8000
202003,南方绩优成长股票,100233,定期不定额修改,网银,0.00,"200,000,000.00",0.4000
202003,南方绩优成长股票,100233,定期不定额修改,低柜,0.00,"200,000,000.00",0.8000
202003,南方绩优成长股票,200208,定期定额处理,网银,0.00,"200,000,000.00",0.4000
202003,南方绩优成长股票,200208,定期定额处理,低柜,0.00,"200,000,000.00",0.8000
202005,南方成份精选股票,100201,产品申购,网银,0.00,"200,000,000.00",0.4000
202005,南方成份精选股票,100208,定期定额开通,网银,0.00,"200,000,000.00",0.4000
202005,南方成份精选股票,100208,定期定额开通,低柜,0.00,"200,000,000.00",0.8000
202005,南方成份精选股票,100209,定期定额修改,网银,0.00,"200,000,000.00",0.4000
202005,南方成份精选股票,100209,定期定额修改,低柜,0.00,"200,000,000.00",0.8000
202005,南方成份精选股票,100232,定期不定额开通,网银,0.00,"200,000,000.00",0.4000
202005,南方成份精选股票,100232,定期不定额开通,低柜,0.00,"200,000,000.00",0.8000
202005,南方成份精选股票,100233,定期不定额修改,网银,0.00,"200,000,000.00",0.4000
202005,南方成份精选股票,100233,定期不定额修改,低柜,0.00,"200,000,000.00",0.8000
202005,南方成份精选股票,200208,定期定额处理,网银,0.00,"200,000,000.00",0.4000
