symbol,publishdate(min),nav_cur4
000038,20170725,1.2065
000038,20170726,1.2067
000038,20170727,1.2067
000038,20170728,1.2067
000038,20170730,2.4137
000038,20170731,1.2072
000038,20170801,1.2066
000038,20170802,1.2052
000038,20170803,1.3931
000038,20170804,1.2001
000038,20170806,2.4004
000038,20170807,1.2001
000038,20170808,1.1969
000038,20170809,1.3363
000038,20170810,1.2868
000038,20170811,1.1967
000038,20170813,2.3934
000038,20170814,1.2063
000038,20170815,1.2058
000038,20170816,1.2052
000038,20170817,1.1985
000038,20170818,1.2033
000038,20170820,2.4071
000038,20170821,1.2018
000038,20170822,1.2015
000038,20170823,1.1997
000038,20170824,1.1998
000038,20170825,1.2005
000038,20170827,2.4013
000038,20170828,1.2043
000038,20170829,1.2013
000038,20170830,1.2022
000038,20170831,1.2032
000038,20170901,1.203
000038,20170903,2.4062
000038,20170904,1.2025
000038,20170905,1.2003
000038,20170906,1.1959
000038,20170907,1.1956
000038,20170908,1.1956
000038,20170910,2.3917
000038,20170911,1.1956
000038,20170912,1.1945
000038,20170913,1.2187
000038,20170914,1.2153
000038,20170915,1.2162
000038,20170917,2.3775
000038,20170918,1.2389
000038,20170919,1.2122
000038,20170920,1.2186
000038,20170921,1.2174
000038,20170922,1.2184
000038,20170924,2.4372
000038,20170925,1.2194
000038,20170926,1.2716
000038,20170927,1.2286
000038,20170929,1.2269
000038,20171008,11.0473
000038,20171009,1.2318
000038,20171010,1.2304
000038,20171011,1.2299
000038,20171012,1.2304
000038,20171013,1.2304
000038,20171015,2.4612
000038,20171016,1.215
000038,20171017,1.2082
000038,20171018,1.1857
000038,20171019,1.1862
000038,20171020,1.1856
000038,20171022,2.3714
000038,20171023,1.1869
000038,20171024,1.1617
000038,20171025,1.1758
000038,20171026,1.4248
000038,20171027,1.3373
000038,20171029,2.3761
000038,20171030,1.2992
000038,20171031,1.22
000038,20171101,1.1894
000038,20171102,1.1879
000038,20171103,1.218
000038,20171105,2.437
000038,20171106,1.2445
000038,20171107,1.2405
000038,20171108,1.24
000038,20171109,1.24
000038,20171110,1.2384
000038,20171112,2.4496
000038,20171113,1.1939
000038,20171114,1.1976
000038,20171115,1.2089
000038,20171116,1.1802
000038,20171117,1.1891
000038,20171119,2.3351
000038,20171120,1.1681
000089,20170702,2.2996
000089,20170703,1.2245
000089,20170704,1.2311
000089,20170705,1.2298
000089,20170706,1.2304
000089,20170707,1.2561
000089,20170709,2.5162
000089,20170710,1.2782
000089,20170711,1.2222
000089,20170712,1.4408
000089,20170713,1.2022
000089,20170714,1.2008
000089,20170716,2.3805
000089,20170717,1.2185
000089,20170718,1.1869
000089,20170719,1.1614
000089,20170720,1.1778
000089,20170721,1.1821
000089,20170723,2.3545
000089,20170724,1.7683
000089,20170725,1.1708
000089,20170726,1.1756
000089,20170727,1.1627
000089,20170728,1.1597
000089,20170730,2.3068
000089,20170731,1.111
000089,20170801,1.1137
000089,20170802,1.1105
000089,20170803,1.124
000089,20170804,1.1373
000089,20170806,2.282
000089,20170807,1.4489
000089,20170808,1.1665
000089,20170809,1.1272
000089,20170810,1.1544
000089,20170811,1.2084
000089,20170813,2.2504
000089,20170814,1.1226
000089,20170815,1.3576
000089,20170816,1.096
