客户ID,日期,基金代码,基金名称,配置比例
48,2017-11-24,001661,博时信用债纯债C,0.1728
48,2017-11-24,050111,博时信用债券C,0.1733
48,2017-11-24,002385,博时裕富沪深300C,0.1308
48,2017-11-24,050015,博时大中华人民币,0.168
48,2017-11-24,050025,博时标普500ETF联接,0.0837
48,2017-11-24,160505,博时主题行业,0.2
49,2017-11-24,050003,博时现金收益A,0.0885
49,2017-11-24,001661,博时信用债纯债C,0.1687
49,2017-11-24,050111,博时信用债券C,0.2352
49,2017-11-24,002385,博时裕富沪深300C,0.1135
49,2017-11-24,050015,博时大中华人民币,0.1275
49,2017-11-24,050025,博时标普500ETF联接,0.1204
49,2017-11-24,160505,博时主题行业,0.1463
50,2017-11-24,050003,博时现金收益A,0.0885
50,2017-11-24,001661,博时信用债纯债C,0.1687
50,2017-11-24,050111,博时信用债券C,0.2352
50,2017-11-24,002385,博时裕富沪深300C,0.1135
50,2017-11-24,050015,博时大中华人民币,0.1275
50,2017-11-24,050025,博时标普500ETF联接,0.1204
50,2017-11-24,160505,博时主题行业,0.1463
51,2017-11-24,050003,博时现金收益A,0.1371
51,2017-11-24,001661,博时信用债纯债C,0.3995
51,2017-11-24,050111,博时信用债券C,0.1276
51,2017-11-24,002385,博时裕富沪深300C,0.1046
51,2017-11-24,050015,博时大中华人民币,0.06
51,2017-11-24,050025,博时标普500ETF联接,0.1713
52,2017-11-24,050003,博时现金收益A,0.1371
52,2017-11-24,001661,博时信用债纯债C,0.3995
52,2017-11-24,050111,博时信用债券C,0.1276
52,2017-11-24,002385,博时裕富沪深300C,0.1046
52,2017-11-24,050015,博时大中华人民币,0.06
52,2017-11-24,050025,博时标普500ETF联接,0.1713
53,2017-11-24,050003,博时现金收益A,0.0885
53,2017-11-24,001661,博时信用债纯债C,0.1643
53,2017-11-24,050111,博时信用债券C,0.2351
53,2017-11-24,002385,博时裕富沪深300C,0.1148
53,2017-11-24,050015,博时大中华人民币,0.1275
53,2017-11-24,050025,博时标普500ETF联接,0.1199
53,2017-11-24,160505,博时主题行业,0.15
54,2017-11-24,050003,博时现金收益A,0.0665
54,2017-11-24,001661,博时信用债纯债C,0.1642
54,2017-11-24,050111,博时信用债券C,0.1861
54,2017-11-24,002385,博时裕富沪深300C,0.132
54,2017-11-24,050015,博时大中华人民币,0.168
54,2017-11-24,050025,博时标普500ETF联接,0.0832
54,2017-11-24,160505,博时主题行业,0.2
55,2017-11-24,050003,博时现金收益A,0.0665
55,2017-11-24,001661,博时信用债纯债C,0.1642
55,2017-11-24,050111,博时信用债券C,0.1861
55,2017-11-24,002385,博时裕富沪深300C,0.132
55,2017-11-24,050015,博时大中华人民币,0.168
55,2017-11-24,050025,博时标普500ETF联接,0.0832
55,2017-11-24,160505,博时主题行业,0.2
56,2017-11-24,050003,博时现金收益A,0.1391
56,2017-11-24,001661,博时信用债纯债C,0.4163
56,2017-11-24,050111,博时信用债券C,0.1167
56,2017-11-24,002385,博时裕富沪深300C,0.1085
56,2017-11-24,050015,博时大中华人民币,0.06
56,2017-11-24,050025,博时标普500ETF联接,0.1594
57,2017-11-24,050003,博时现金收益A,0.1391
57,2017-11-24,001661,博时信用债纯债C,0.4163
57,2017-11-24,050111,博时信用债券C,0.1167
57,2017-11-24,002385,博时裕富沪深300C,0.1085
57,2017-11-24,050015,博时大中华人民币,0.06
57,2017-11-24,050025,博时标普500ETF联接,0.1594
58,2017-11-24,050003,博时现金收益A,0.0665
58,2017-11-24,001661,博时信用债纯债C,0.1642
58,2017-11-24,050111,博时信用债券C,0.1861
58,2017-11-24,002385,博时裕富沪深300C,0.132
58,2017-11-24,050015,博时大中华人民币,0.168
58,2017-11-24,050025,博时标普500ETF联接,0.0832
58,2017-11-24,160505,博时主题行业,0.2
59,2017-11-24,050003,博时现金收益A,0.0665
59,2017-11-24,001661,博时信用债纯债C,0.1642
59,2017-11-24,050111,博时信用债券C,0.1861
59,2017-11-24,002385,博时裕富沪深300C,0.132
59,2017-11-24,050015,博时大中华人民币,0.168
59,2017-11-24,050025,博时标普500ETF联接,0.0832
59,2017-11-24,160505,博时主题行业,0.2
60,2017-11-24,050003,博时现金收益A,0.2993
60,2017-11-24,001661,博时信用债纯债C,0.5687
60,2017-11-24,050111,博时信用债券C,0.082
60,2017-11-24,050025,博时标普500ETF联接,0.05
61,2017-11-24,050003,博时现金收益A,0.2931
61,2017-11-24,001661,博时信用债纯债C,0.5747
61,2017-11-24,050111,博时信用债券C,0.0822
61,2017-11-24,050025,博时标普500ETF联接,0.05
62,2017-11-24,050003,博时现金收益A,0.2931
62,2017-11-24,001661,博时信用债纯债C,0.5747
62,2017-11-24,050111,博时信用债券C,0.0822
62,2017-11-24,050025,博时标普500ETF联接,0.05
63,2017-11-24,050003,博时现金收益A,0.081
63,2017-11-24,001661,博时信用债纯债C,0.1895
63,2017-11-24,050111,博时信用债券C,0.1478
63,2017-11-24,002385,博时裕富沪深300C,0.1296
63,2017-11-24,050015,博时大中华人民币,0.168
63,2017-11-24,050025,博时标普500ETF联接,0.0842
63,2017-11-24,160505,博时主题行业,0.2
64,2017-11-24,050003,博时现金收益A,0.081
64,2017-11-24,001661,博时信用债纯债C,0.1895
64,2017-11-24,050111,博时信用债券C,0.1478
64,2017-11-24,002385,博时裕富沪深300C,0.1296
64,2017-11-24,050015,博时大中华人民币,0.168
64,2017-11-24,050025,博时标普500ETF联接,0.0842
64,2017-11-24,160505,博时主题行业,0.2
65,2017-11-24,050003,博时现金收益A,0.2931
65,2017-11-24,001661,博时信用债纯债C,0.5747
65,2017-11-24,050111,博时信用债券C,0.0822
65,2017-11-24,050025,博时标普500ETF联接,0.05
66,2017-11-24,050003,博时现金收益A,1
67,2017-11-24,050003,博时现金收益A,0.1391
67,2017-11-24,001661,博时信用债纯债C,0.392
67,2017-11-24,050111,博时信用债券C,0.1251
67,2017-11-24,002385,博时裕富沪深300C,0.1006
67,2017-11-24,050015,博时大中华人民币,0.06
67,2017-11-24,050025,博时标普500ETF联接,0.1832
68,2017-11-24,050003,博时现金收益A,0.0737
68,2017-11-24,001661,博时信用债纯债C,0.1768
68,2017-11-24,050111,博时信用债券C,0.1669
68,2017-11-24,002385,博时裕富沪深300C,0.1308
68,2017-11-24,050015,博时大中华人民币,0.168
68,2017-11-24,050025,博时标普500ETF联接,0.0837
68,2017-11-24,160505,博时主题行业,0.2
69,2017-11-24,050003,博时现金收益A,0.0962
69,2017-11-24,001661,博时信用债纯债C,0.1814
69,2017-11-24,050111,博时信用债券C,0.2148
69,2017-11-24,002385,博时裕富沪深300C,0.1135
69,2017-11-24,050015,博时大中华人民币,0.1275
69,2017-11-24,050025,博时标普500ETF联接,0.1204
69,2017-11-24,160505,博时主题行业,0.1463
70,2017-11-24,050003,博时现金收益A,0.0737
70,2017-11-24,001661,博时信用债纯债C,0.1768
70,2017-11-24,050111,博时信用债券C,0.1669
70,2017-11-24,002385,博时裕富沪深300C,0.1308
70,2017-11-24,050015,博时大中华人民币,0.168
70,2017-11-24,050025,博时标普500ETF联接,0.0837
70,2017-11-24,160505,博时主题行业,0.2
71,2017-11-24,050003,博时现金收益A,0.1391
71,2017-11-24,001661,博时信用债纯债C,0.4041
71,2017-11-24,050111,博时信用债券C,0.1209
