用户,日期,基金代码,基金名称,配置比例
28,2017-07-01,162607,景顺长城资源垄断混合LOF,0.0198
28,2017-08-18,162607,景顺长城资源垄断混合LOF,0.0525
28,2017-07-01,260116,景顺长城核心竞争力混合A,0.0517
28,2017-08-18,000307,易方达黄金ETF联接A,0.0577
28,2017-08-18,110031,易方达恒生国企联接QDII,0.1912
29,2017-07-01,050025,博时标普500ETF联接QDII,0.258
29,2017-08-18,050025,博时标普500ETF联接QDII,0.2416
29,2017-07-01,050027,博时信用债纯债债券A,0.3321
29,2017-08-18,050027,博时信用债纯债债券A,0.3294
29,2017-07-01,160127,南方新兴消费增长分级股票,0.0518
29,2017-08-18,160127,南方新兴消费增长分级股票,0.1275
29,2017-07-01,160717,嘉实恒生中国企业QDII-LOF,0.1999
29,2017-07-01,160719,嘉实黄金QDII-FOF-LOF,0.0866
29,2017-07-01,162607,景顺长城资源垄断混合LOF,0.0198
29,2017-08-18,162607,景顺长城资源垄断混合LOF,0.0525
29,2017-07-01,260116,景顺长城核心竞争力混合A,0.0517
29,2017-08-18,000307,易方达黄金ETF联接A,0.0577
29,2017-08-18,110031,易方达恒生国企联接QDII,0.1912
30,2017-07-01,050025,博时标普500ETF联接QDII,0.2581
30,2017-08-18,050025,博时标普500ETF联接QDII,0.2417
30,2017-07-01,050027,博时信用债纯债债券A,0.3323
30,2017-08-18,050027,博时信用债纯债债券A,0.3296
30,2017-07-01,160127,南方新兴消费增长分级股票,0.0518
30,2017-08-18,160127,南方新兴消费增长分级股票,0.063
30,2017-07-01,160717,嘉实恒生中国企业QDII-LOF,0.2359
30,2017-07-01,160719,嘉实黄金QDII-FOF-LOF,0.0503
30,2017-07-01,162607,景顺长城资源垄断混合LOF,0.0198
30,2017-08-18,162607,景顺长城资源垄断混合LOF,0.0525
30,2017-07-01,260116,景顺长城核心竞争力混合A,0.0518
30,2017-08-18,000307,易方达黄金ETF联接A,0.0576
30,2017-08-18,110031,易方达恒生国企联接QDII,0.1913
30,2017-08-18,202021,南方小康ETF联接A,0.0642
31,2017-07-01,050025,博时标普500ETF联接QDII,0.1522
31,2017-08-18,050025,博时标普500ETF联接QDII,0.1566
31,2017-07-01,050027,博时信用债纯债债券A,0.5525
31,2017-08-18,050027,博时信用债纯债债券A,0.5506
31,2017-07-01,160127,南方新兴消费增长分级股票,0.0691
31,2017-08-18,160127,南方新兴消费增长分级股票,0.08
31,2017-07-01,160717,嘉实恒生中国企业QDII-LOF,0.1641
31,2017-07-01,160719,嘉实黄金QDII-FOF-LOF,0.0501
31,2017-07-01,162607,景顺长城资源垄断混合LOF,0.012
31,2017-08-18,162607,景顺长城资源垄断混合LOF,0.036
31,2017-08-18,000307,易方达黄金ETF联接A,0.0451
31,2017-08-18,110031,易方达恒生国企联接QDII,0.1318
32,2017-07-01,050025,博时标普500ETF联接QDII,0.258
32,2017-08-18,050025,博时标普500ETF联接QDII,0.2416
32,2017-07-01,050027,博时信用债纯债债券A,0.3321
32,2017-08-18,050027,博时信用债纯债债券A,0.3294
32,2017-07-01,160127,南方新兴消费增长分级股票,0.0518
32,2017-08-18,160127,南方新兴消费增长分级股票,0.1275
32,2017-07-01,160717,嘉实恒生中国企业QDII-LOF,0.1999
32,2017-07-01,160719,嘉实黄金QDII-FOF-LOF,0.0866
32,2017-07-01,162607,景顺长城资源垄断混合LOF,0.0198
32,2017-08-18,162607,景顺长城资源垄断混合LOF,0.0525
32,2017-07-01,260116,景顺长城核心竞争力混合A,0.0517
32,2017-08-18,000307,易方达黄金ETF联接A,0.0577
32,2017-08-18,110031,易方达恒生国企联接QDII,0.1912
33,2017-07-01,050025,博时标普500ETF联接QDII,0.3813
33,2017-08-18,050025,博时标普500ETF联接QDII,0.3449
33,2017-07-01,160127,南方新兴消费增长分级股票,0.08
33,2017-08-18,160127,南方新兴消费增长分级股票,0.0928
33,2017-07-01,160717,嘉实恒生中国企业QDII-LOF,0.2853
33,2017-07-01,160719,嘉实黄金QDII-FOF-LOF,0.1437
33,2017-07-01,162607,景顺长城资源垄断混合LOF,0.0297
33,2017-08-18,162607,景顺长城资源垄断混合LOF,0.0863
33,2017-07-01,260116,景顺长城核心竞争力混合A,0.0799
33,2017-08-18,000307,易方达黄金ETF联接A,0.1005
33,2017-08-18,110031,易方达恒生国企联接QDII,0.2663
33,2017-08-18,202021,南方小康ETF联接A,0.1094
34,2017-07-01,050025,博时标普500ETF联接QDII,0.3813
34,2017-08-18,050025,博时标普500ETF联接QDII,0.3449
34,2017-07-01,160127,南方新兴消费增长分级股票,0.08
34,2017-08-18,160127,南方新兴消费增长分级股票,0.0928
34,2017-07-01,160717,嘉实恒生中国企业QDII-LOF,0.2853
34,2017-07-01,160719,嘉实黄金QDII-FOF-LOF,0.1437
34,2017-07-01,162607,景顺长城资源垄断混合LOF,0.0297
34,2017-08-18,162607,景顺长城资源垄断混合LOF,0.0863
34,2017-07-01,260116,景顺长城核心竞争力混合A,0.0799
34,2017-08-18,000307,易方达黄金ETF联接A,0.1003
34,2017-08-18,110031,易方达恒生国企联接QDII,0.2663
34,2017-08-18,202021,南方小康ETF联接A,0.1094
35,2017-07-01,050025,博时标普500ETF联接QDII,0.258
35,2017-08-18,050025,博时标普500ETF联接QDII,0.2416
35,2017-07-01,050027,博时信用债纯债债券A,0.3321
35,2017-08-18,050027,博时信用债纯债债券A,0.3294
35,2017-07-01,160127,南方新兴消费增长分级股票,0.0518
35,2017-08-18,160127,南方新兴消费增长分级股票,0.1276
35,2017-07-01,160717,嘉实恒生中国企业QDII-LOF,0.1999
35,2017-07-01,160719,嘉实黄金QDII-FOF-LOF,0.0866
35,2017-07-01,162607,景顺长城资源垄断混合LOF,0.0198
35,2017-08-18,162607,景顺长城资源垄断混合LOF,0.0525
35,2017-07-01,260116,景顺长城核心竞争力混合A,0.0517
35,2017-08-18,000307,易方达黄金ETF联接A,0.0577
35,2017-08-18,110031,易方达恒生国企联接QDII,0.1912
36,2017-07-01,050025,博时标普500ETF联接QDII,0.1522
36,2017-08-18,050025,博时标普500ETF联接QDII,0.1565
36,2017-07-01,050027,博时信用债纯债债券A,0.5525
36,2017-08-18,050027,博时信用债纯债债券A,0.5507
36,2017-07-01,160127,南方新兴消费增长分级股票,0.0691
36,2017-08-18,160127,南方新兴消费增长分级股票,0.08
36,2017-07-01,160717,嘉实恒生中国企业QDII-LOF,0.1595
36,2017-07-01,160719,嘉实黄金QDII-FOF-LOF,0.0548
36,2017-07-01,162607,景顺长城资源垄断混合LOF,0.012
36,2017-08-18,162607,景顺长城资源垄断混合LOF,0.0359
36,2017-08-18,000307,易方达黄金ETF联接A,0.0451
36,2017-08-18,110031,易方达恒生国企联接QDII,0.1318
37,2017-07-01,050025,博时标普500ETF联接QDII,0.1522
37,2017-08-18,050025,博时标普500ETF联接QDII,0.1566
37,2017-07-01,050027,博时信用债纯债债券A,0.5525
37,2017-08-18,050027,博时信用债纯债债券A,0.5507
37,2017-07-01,160127,南方新兴消费增长分级股票,0.0691
