客户ID,日期,基金代码,基金名称,配置比例
54,2017-07-01,160416,华安标普全球石油,0.198
55,2017-07-01,070008,嘉实货币,0.0881
55,2017-07-01,519153,新华纯债添利C,0.0331
55,2017-07-01,050111,博时信用债券C,0.1926
55,2017-07-01,050002,博时沪深300指数,0.25
55,2017-07-01,040018,华安香港精选,0.1106
55,2017-07-01,050025,博时标普500ETF联接,0.0736
55,2017-07-01,160121,南方金砖四国,0.054
55,2017-07-01,160416,华安标普全球石油,0.198
56,2017-07-01,070008,嘉实货币,0.1391
56,2017-07-01,519153,新华纯债添利C,0.1611
56,2017-07-01,050111,博时信用债券C,0.1648
56,2017-07-01,050002,博时沪深300指数,0.2838
56,2017-07-01,050025,博时标普500ETF联接,0.093
56,2017-07-01,160121,南方金砖四国,0.1582
57,2017-07-01,070008,嘉实货币,0.1391
57,2017-07-01,519153,新华纯债添利C,0.1611
57,2017-07-01,050111,博时信用债券C,0.1648
57,2017-07-01,050002,博时沪深300指数,0.2838
57,2017-07-01,050025,博时标普500ETF联接,0.093
57,2017-07-01,160121,南方金砖四国,0.1582
57,2017-11-24,070008,嘉实货币,0.1391
57,2017-11-24,519153,新华纯债添利C,0.412719048
57,2017-11-24,050111,博时信用债券C,0.095561905
57,2017-11-24,050002,博时沪深300指数,0.109419048
57,2017-11-24,040018,华安香港精选,0.057142857
57,2017-11-24,050025,博时标普500ETF联接,0.057095238
57,2017-11-24,160121,南方金砖四国,0.128961905
58,2017-07-01,070008,嘉实货币,0.0881
58,2017-07-01,519153,新华纯债添利C,0.0331
58,2017-07-01,050111,博时信用债券C,0.1926
58,2017-07-01,050002,博时沪深300指数,0.25
58,2017-07-01,040018,华安香港精选,0.1106
58,2017-07-01,050025,博时标普500ETF联接,0.0736
58,2017-07-01,160121,南方金砖四国,0.054
58,2017-07-01,160416,华安标普全球石油,0.198
58,2017-11-24,070008,嘉实货币,0.0881
58,2017-11-24,519153,新华纯债添利C,0.189685366
58,2017-11-24,050111,博时信用债券C,0.1926
58,2017-11-24,050002,博时沪深300指数,0.08795122
58,2017-11-24,040018,华安香港精选,0.236843902
58,2017-11-24,050025,博时标普500ETF联接,0.05057561
58,2017-11-24,160121,南方金砖四国,0.076243902
58,2017-11-24,160416,华安标普全球石油,0.078
59,2017-07-01,070008,嘉实货币,0.0881
59,2017-07-01,519153,新华纯债添利C,0.0331
59,2017-07-01,050111,博时信用债券C,0.1926
59,2017-07-01,050002,博时沪深300指数,0.25
59,2017-07-01,040018,华安香港精选,0.1106
59,2017-07-01,050025,博时标普500ETF联接,0.0736
59,2017-07-01,160121,南方金砖四国,0.054
59,2017-07-01,160416,华安标普全球石油,0.198
60,2017-07-01,070008,嘉实货币,0.2881
60,2017-07-01,519153,新华纯债添利C,0.4402
60,2017-07-01,050111,博时信用债券C,0.0932
60,2017-07-01,050002,博时沪深300指数,0.1236
60,2017-07-01,050025,博时标普500ETF联接,0.0549
61,2017-07-01,070008,嘉实货币,0.2814
61,2017-07-01,519153,新华纯债添利C,0.4462
61,2017-07-01,050111,博时信用债券C,0.0938
61,2017-07-01,050002,博时沪深300指数,0.1236
61,2017-07-01,050025,博时标普500ETF联接,0.055
61,2017-11-24,070008,嘉实货币,0.29115
61,2017-11-24,519153,新华纯债添利C,0.553283333
61,2017-11-24,050111,博时信用债券C,0.084133333
61,2017-11-24,050002,博时沪深300指数,0.0206
61,2017-11-24,050025,博时标普500ETF联接,0.050833333
62,2017-07-01,070008,嘉实货币,0.2814
62,2017-07-01,519153,新华纯债添利C,0.4462
62,2017-07-01,050111,博时信用债券C,0.0938
62,2017-07-01,050002,博时沪深300指数,0.1236
62,2017-07-01,050025,博时标普500ETF联接,0.055
63,2017-07-01,070008,嘉实货币,0.1201
63,2017-07-01,519153,新华纯债添利C,0.0331
63,2017-07-01,050111,博时信用债券C,0.1606
63,2017-07-01,050002,博时沪深300指数,0.25
63,2017-07-01,040018,华安香港精选,0.1106
63,2017-07-01,050025,博时标普500ETF联接,0.0736
63,2017-07-01,160121,南方金砖四国,0.054
63,2017-07-01,160416,华安标普全球石油,0.198
64,2017-07-01,070008,嘉实货币,0.1201
64,2017-07-01,519153,新华纯债添利C,0.0331
64,2017-07-01,050111,博时信用债券C,0.1606
64,2017-07-01,050002,博时沪深300指数,0.25
64,2017-07-01,040018,华安香港精选,0.1106
64,2017-07-01,050025,博时标普500ETF联接,0.0736
