data_dt,entrydate(min),entrytime,icode,indexcap_id,mcap,tcap,tdate
20170801,20170801 00:00,21:01:56,399004,35486,520146380.5,641872731.3,20170801
20090507,20090507 00:00,21:00:07,000300,18765,520404980.3,1417747968,20090507
20140912,20140912 00:00,21:00:23,399106,29654,520500892.9,649578025.3,20140912
20090506,20090506 00:00,21:00:07,000300,18757,520511709.8,1413832586,20090506
20170817,20170817 00:00,21:00:15,399004,35582,520587204.5,642545600.2,20170817
20140923,20140923 00:00,21:01:50,399106,29710,520764503.7,648692185.8,20140923
20140925,20140925 00:00,21:01:29,399107,29728,520808350.1,651502405.2,20140925
20080430,20080430 00:00,21:00:31,000300,16725,520919970.2,1827464011,20080430
20080411,20080411 00:00,21:00:13,000002,16616,521127228.4,1816561829,20080411
20070830,20070830 00:00,21:00:09,000001,15362,521167881.7,1779913595,20070830
20140919,20140919 00:00,21:00:42,399106,29694,521178852.6,649144058.9,20140919
20140924,20140924 00:00,21:01:33,399107,29720,521229153,651259496.2,20140924
20140926,20140926 00:00,21:02:13,399107,29736,521731943.7,653318924.5,20140926
20080515,20080515 00:00,21:00:23,000300,16801,521838749.1,1793483653,20080515
20080318,20080318 00:00,21:00:16,000002,16476,521853566.5,1906917129,20080318
20070914,20070914 00:00,21:00:19,000300,15457,521909871.3,1773354139,20070914
20170822,20170822 00:00,21:00:16,399004,35606,522064116.8,644920737.8,20170822
20070907,20070907 00:00,21:00:14,000002,15412,522147071.7,1808984029,20070907
20071112,20071112 00:00,21:00:44,000300,15773,522163265.7,1890927227,20071112
20080526,20080526 00:00,21:00:16,000002,16852,522203296.6,1768185481,20080526
20071128,20071128 00:00,21:01:12,000002,15868,522331998.4,2572578542,20071128
20070906,20070906 00:00,21:00:12,000300,15409,522363950.5,1796073206,20070906
20080331,20080331 00:00,21:00:11,000002,16548,522385657.5,1805177998,20080331
20080428,20080428 00:00,21:00:17,000002,16704,522511513.6,1826860993,20080428
20170823,20170823 00:00,21:00:12,399004,35614,522603347.8,644766781.2,20170823
20170821,20170821 00:00,21:00:16,399004,35598,522636484,645189608.1,20170821
20071129,20071129 00:00,21:01:50,000300,15881,522736827.2,2398653592,20071129
20090415,20090415 00:00,21:00:13,000001,18635,522775064.7,1434683057,20090415
20071123,20071123 00:00,21:00:24,000300,15849,522828772,2418247565,20071123
20090421,20090421 00:00,21:00:22,000002,18669,523051009.3,1429560061,20090421
