data_dt,entrydate(min),entrytime,icode,indexcap_id,mcap,tcap,tdate
20130117,20130117 00:00,21:01:08,000001,26335,1351070676,1604280685,2013-01-17
20140819,20140819 00:00,21:01:16,000300,29521,1351177365,1501966165,2014-08-19
20140421,20140421 00:00,21:00:58,000001,28839,1351224499,1503317386,2014-04-21
20150515,20150515 00:00,21:01:00,000016,31004,1351237392,1385980017,2015-05-15
20140701,20140701 00:00,21:00:42,000001,29235,1351407019,1497588794,2014-07-01
20120511,20120511 00:00,21:00:05,000001,24913,1351429361,1646166819,2012-05-11
20110809,20110809 00:00,21:00:18,000002,23379,1351455435,1667531078,2011-08-09
20170906,20170906 00:00,21:00:14,000016,35696,1351464381,1423280696,2017-09-06
20130107,20130107 00:00,21:01:26,000001,26271,1351515215,1599550398,2013-01-07
20110808,20110808 00:00,21:00:41,000002,23371,1351712850,1667567554,2011-08-08
20130304,20130304 00:00,21:03:28,000001,26571,1351713664,1599366813,2013-03-04
20170831,20170831 00:00,21:00:18,000016,35664,1351715442,1422536745,2017-08-31
20120509,20120509 00:00,21:00:07,000002,24899,1351729558,1647663072,2012-05-09
20120308,20120308 00:00,21:00:46,000002,24567,1351846185,1652017402,2012-03-08
20120425,20120425 00:00,21:00:16,000002,24827,1351860073,1643593923,2012-04-25
20140704,20140704 00:00,21:00:36,000002,29261,1351910920,1502190971,2014-07-04
20111117,20111117 00:00,21:00:06,000001,23953,1352037761,1661058494,2011-11-17
20120222,20120222 00:00,21:00:06,000001,24477,1352079292,1645691201,2012-02-22
20140711,20140711 00:00,21:01:03,000001,29299,1352186188,1500138105,2014-07-11
20120510,20120510 00:00,21:00:08,000002,24907,1352202750,1649003048,2012-05-10
20140612,20140612 00:00,21:00:05,000001,29131,1352240114,1496799669,2014-06-12
20150615,20150615 00:00,21:00:48,399107,31168,1352390548,1691672985,2015-06-15
20130218,20130218 00:00,21:04:49,000300,26497,1352428921,1614777348,2013-02-18
20140213,20140213 00:00,21:01:25,000002,28469,1352494477,1511362734,2014-02-13
20150414,20150414 00:00,21:00:33,000016,30824,1352584172,1392311557,2015-04-14
20131230,20131230 00:00,21:00:12,000001,28227,1352610562,1499169993,2013-12-30
20130312,20130312 00:00,21:01:46,000002,26621,1352770455,1600201188,2013-03-12
20140707,20140707 00:00,21:00:53,000002,29269,1352854962,1503020234,2014-07-07
20111101,20111101 00:00,21:00:21,000001,23849,1352856935,1665350118,2011-11-01
20140610,20140610 00:00,21:00:09,000001,29115,1353094303,1497363779,2014-06-10
20131108,20131108 00:00,21:00:07,000001,27939,1353210420,1495153589,2013-11-08
20150610,20150610 00:00,21:00:06,399106,31142,1353264900,1693464510,2015-06-10
20111028,20111028 00:00,21:00:22,000001,23833,1353406406,1667373839,2011-10-28
20140718,20140718 00:00,21:01:51,000002,29341,1353472805,1502024208,2014-07-18
20130207,20130207 00:00,21:02:07,000300,26461,1353486828,1619530375,2013-02-07
20111110,20111110 00:00,21:00:23,000002,23907,1353488949,1664224485,2011-11-10
20140703,20140703 00:00,21:00:49,000002,29253,1353499619,1504597815,2014-07-03
20140102,20140102 00:00,21:00:48,000002,28249,1353618645,1501318282,2014-01-02
20120316,20120316 00:00,21:00:04,000001,24613,1353620031,1655014070,2012-03-16
20140423,20140423 00:00,21:01:17,000001,28855,1353634093,1504974971,2014-04-23
20130201,20130201 00:00,21:02:01,000300,26429,1353903600,1619443869,2013-02-01
20120427,20120427 00:00,21:00:47,000001,24841,1354024099,1645901829,2012-04-27
20131227,20131227 00:00,21:01:06,000001,28219,1354035349,1502039305,2013-12-27
20130124,20130124 00:00,21:00:09,000002,26377,1354066098,1608524172,2013-01-24
20110526,20110526 00:00,21:00:06,000300,22951,1354226641,1662583978,2011-05-26
20111111,20111111 00:00,21:00:30,000002,23915,1354394833,1665301536,2011-11-11
20110822,20110822 00:00,21:00:07,000002,23451,1354435964,1667861659,2011-08-22
20140611,20140611 00:00,21:00:04,000001,29123,1354446807,1499132874,2014-06-11
20130605,20130605 00:00,21:00:55,000002,27089,1354515996,1594924528,2013-06-05
20111116,20111116 00:00,21:00:08,000001,23945,1354562573,1663649294,2011-11-16
20120306,20120306 00:00,21:00:19,000001,24549,1354621183,1652279608,2012-03-06
20130226,20130226 00:00,21:02:51,000002,26541,1354843663,1604793697,2013-02-26
20171016,20171016 00:00,21:00:57,000016,35900,1354932077,1424642745,2017-10-16
20140211,20140211 00:00,21:01:31,000002,28453,1355056944,1513763752,2014-02-11
20150521,20150521 00:00,21:00:44,000016,31036,1355113482,1398783648,2015-05-21
20130906,20130906 00:00,21:00:21,000002,27613,1355146826,1510127416,2013-09-06
20130315,20130315 00:00,21:00:09,000001,26643,1355296497,1602643377,2013-03-15
20131111,20131111 00:00,21:00:12,000001,27947,1355491620,1497533669,2013-11-11
20150413,20150413 00:00,21:00:39,000016,30816,1355500550,1395305822,2015-04-13
20110525,20110525 00:00,21:00:09,000300,22943,1355509149,1664405252,2011-05-25
