用户序号,日期,基金代码,基金名称,配置比例
32,2017-07-03,50003,博时现金收益证券投资基金A级,0.05
32,2017-07-03,178,博时灵活配置混合型证券投资基金A类,0.25
32,2017-07-03,160505,博时主题行业混合型证券投资基金,0.1
32,2017-07-03,219,博时裕益灵活配置混合型证券投资基金,0.1
32,2017-07-03,50021,博时深证基本面200交易型开放式指数证券投资基金联接基金,0.05
32,2017-07-03,50018,博时行业轮动混合型证券投资基金,0.25
32,2017-07-03,50025,博时标普500交易型开放式指数证券投资基金联接基金,0.2
32,2017-12-08,50003,博时现金收益证券投资基金A级,0.2
32,2017-12-08,50011,博时信用债券投资基金A/B类,0.2
32,2017-12-08,50018,博时行业轮动混合型证券投资基金,0.25
32,2017-12-08,50002,博时裕富沪深300指数证券投资基金A类,0.05
32,2017-12-08,50007,博时平衡配置混合型证券投资基金,0.1
32,2017-12-08,50015,博时大中华亚太精选股票证券投资基金,0.05
32,2017-12-08,50025,博时标普500交易型开放式指数证券投资基金联接基金,0.1
32,2017-12-08,929,博时黄金交易型开放式证券投资基金D类,0.05
33,2017-07-03,50003,博时现金收益证券投资基金A级,0.05
33,2017-07-03,178,博时灵活配置混合型证券投资基金A类,0.15
33,2017-07-03,160505,博时主题行业混合型证券投资基金,0.05
33,2017-07-03,219,博时裕益灵活配置混合型证券投资基金,0.05
33,2017-07-03,50021,博时深证基本面200交易型开放式指数证券投资基金联接基金,0.08
33,2017-07-03,50018,博时行业轮动混合型证券投资基金,0.32
33,2017-07-03,50025,博时标普500交易型开放式指数证券投资基金联接基金,0.3
33,2017-12-08,50003,博时现金收益证券投资基金A级,0.1
33,2017-12-08,50011,博时信用债券投资基金A/B类,0.3
33,2017-12-08,50018,博时行业轮动混合型证券投资基金,0.3
33,2017-12-08,50007,博时平衡配置混合型证券投资基金,0.05
33,2017-12-08,50015,博时大中华亚太精选股票证券投资基金,0.05
33,2017-12-08,50025,博时标普500交易型开放式指数证券投资基金联接基金,0.1
33,2017-12-08,929,博时黄金交易型开放式证券投资基金D类,0.1
34,2017-07-03,50003,博时现金收益证券投资基金A级,0.05
34,2017-07-03,178,博时灵活配置混合型证券投资基金A类,0.15
34,2017-07-03,160505,博时主题行业混合型证券投资基金,0.05
34,2017-07-03,219,博时裕益灵活配置混合型证券投资基金,0.05
34,2017-07-03,50021,博时深证基本面200交易型开放式指数证券投资基金联接基金,0.08
34,2017-07-03,50018,博时行业轮动混合型证券投资基金,0.32
34,2017-07-03,50025,博时标普500交易型开放式指数证券投资基金联接基金,0.3
34,2017-12-08,50003,博时现金收益证券投资基金A级,0.1
34,2017-12-08,50011,博时信用债券投资基金A/B类,0.3
34,2017-12-08,50018,博时行业轮动混合型证券投资基金,0.3
34,2017-12-08,50007,博时平衡配置混合型证券投资基金,0.05
34,2017-12-08,50015,博时大中华亚太精选股票证券投资基金,0.05
34,2017-12-08,50025,博时标普500交易型开放式指数证券投资基金联接基金,0.1
34,2017-12-08,929,博时黄金交易型开放式证券投资基金D类,0.1
35,2017-07-03,50003,博时现金收益证券投资基金A级,0.05
35,2017-07-03,178,博时灵活配置混合型证券投资基金A类,0.25
35,2017-07-03,160505,博时主题行业混合型证券投资基金,0.1
35,2017-07-03,219,博时裕益灵活配置混合型证券投资基金,0.1
35,2017-07-03,50021,博时深证基本面200交易型开放式指数证券投资基金联接基金,0.05
35,2017-07-03,50018,博时行业轮动混合型证券投资基金,0.25
35,2017-07-03,50025,博时标普500交易型开放式指数证券投资基金联接基金,0.2
35,2017-12-08,50003,博时现金收益证券投资基金A级,0.2
35,2017-12-08,50011,博时信用债券投资基金A/B类,0.2
35,2017-12-08,50018,博时行业轮动混合型证券投资基金,0.25
35,2017-12-08,50002,博时裕富沪深300指数证券投资基金A类,0.05
