,客户风险能力类型,新老客户种类,性别,存款比例,基金1比例,基金2比例,基金3比例
0.00000000 ,C3平衡性(41-60),增1老客户,女,0.04900000 ,0.66570000 ,0.11890000 ,0.16640000 
0.00000000 ,C3平衡性(41-60),增1老客户,女,0.04900000 ,0.06509000 ,0.88591000 ,0.00000000 
0.00000000 ,C3平衡性(41-60),增1老客户,女,0.04900000 ,0.43070984 ,0.17771588 ,0.34257428 
0.00000000 ,C3平衡性(41-60),增1老客户,女,0.04900000 ,0.23007136 ,0.00000000 ,0.72092864 
0.00000000 ,C3平衡性(41-60),增1老客户,女,0.04900000 ,0.00783686 ,0.05694919 ,0.88621395 
0.00000000 ,C3平衡性(41-60),增1老客户,女,0.04900000 ,0.00000017 ,0.25975961 ,0.69124022 
0.00000000 ,C3平衡性(41-60),增1老客户,女,0.04900000 ,0.00000000 ,0.56812146 ,0.38287854 
0.00000000 ,C3平衡性(41-60),增1老客户,女,0.04900000 ,0.04341711 ,0.00440758 ,0.90317532 
0.00000000 ,C3平衡性(41-60),增1老客户,女,0.04900000 ,0.00000000 ,0.00000000 ,0.95100000 
0.00000000 ,C3平衡性(41-60),增2老客户,男,0.04400000 ,0.11950000 ,0.66920000 ,0.16730000 
0.00000000 ,C3平衡性(41-60),增2老客户,男,0.04400000 ,0.06543221 ,0.89056778 ,0.00000000 
0.00000000 ,C3平衡性(41-60),增2老客户,男,0.04400000 ,0.43297435 ,0.17865025 ,0.34437540 
0.00000000 ,C3平衡性(41-60),增2老客户,男,0.04400000 ,0.23128099 ,0.00000000 ,0.72471901 
0.00000000 ,C3平衡性(41-60),增2老客户,男,0.04400000 ,0.00787806 ,0.05724861 ,0.89087333 
0.00000000 ,C3平衡性(41-60),增2老客户,男,0.04400000 ,0.00000017 ,0.26112533 ,0.69487450 
0.00000000 ,C3平衡性(41-60),增2老客户,男,0.04400000 ,0.00000000 ,0.57110843 ,0.38489157 
0.00000000 ,C3平衡性(41-60),增2老客户,男,0.04400000 ,0.04364538 ,0.00443075 ,0.90792387 
0.00000000 ,C3平衡性(41-60),增2老客户,男,0.04400000 ,0.00000000 ,0.00000000 ,0.95600000 
0.00000000 ,C3平衡性(41-60),增2老客户,女,0.04900000 ,0.11890000 ,0.66570000 ,0.16640000 
0.00000000 ,C3平衡性(41-60),增2老客户,女,0.04900000 ,0.06509000 ,0.88591000 ,0.00000000 
0.00000000 ,C3平衡性(41-60),增2老客户,女,0.04900000 ,0.43070984 ,0.17771588 ,0.34257428 
0.00000000 ,C3平衡性(41-60),增2老客户,女,0.04900000 ,0.23007136 ,0.00000000 ,0.72092864 
0.00000000 ,C3平衡性(41-60),增2老客户,女,0.04900000 ,0.00783686 ,0.05694919 ,0.88621395 
0.00000000 ,C3平衡性(41-60),增2老客户,女,0.04900000 ,0.00000017 ,0.25975961 ,0.69124022 
0.00000000 ,C3平衡性(41-60),增2老客户,女,0.04900000 ,0.00000000 ,0.56812146 ,0.38287854 
0.00000000 ,C3平衡性(41-60),增2老客户,女,0.04900000 ,0.04341711 ,0.00440758 ,0.90317532 
0.00000000 ,C3平衡性(41-60),增2老客户,女,0.04900000 ,0.00000000 ,0.00000000 ,0.95100000 
0.00000000 ,C2稳健型(25-40),新客户,男,0.26000000 ,0.19430000 ,0.24980000 ,0.29600000 
0.00000000 ,C2稳健型(25-40),新客户,男,0.26000000 ,0.05064837 ,0.68935163 ,0.00000000 
0.00000000 ,C2稳健型(25-40),新客户,男,0.26000000 ,0.33514751 ,0.13828576 ,0.26656673 
0.00000000 ,C2稳健型(25-40),新客户,男,0.26000000 ,0.17902503 ,0.00000000 ,0.56097497 
0.00000000 ,C2稳健型(25-40),新客户,男,0.26000000 ,0.00609808 ,0.04431378 ,0.68958814 
0.00000000 ,C2稳健型(25-40),新客户,男,0.26000000 ,0.00000013 ,0.20212630 ,0.53787356 
0.00000000 ,C2稳健型(25-40),新客户,男,0.26000000 ,0.00000000 ,0.44207138 ,0.29792862 
0.00000000 ,C2稳健型(25-40),新客户,男,0.26000000 ,0.03378408 ,0.00342966 ,0.70278626 
0.00000000 ,C2稳健型(25-40),新客户,男,0.26000000 ,0.00000000 ,0.00000000 ,0.74000000 
0.00000000 ,C2稳健型(25-40),新客户,女,0.27000000 ,0.19160000 ,0.24640000 ,0.29200000 
0.00000000 ,C2稳健型(25-40),新客户,女,0.27000000 ,0.04996393 ,0.68003607 ,0.00000000 
0.00000000 ,C2稳健型(25-40),新客户,女,0.27000000 ,0.33061849 ,0.13641703 ,0.26296448 
0.00000000 ,C2稳健型(25-40),新客户,女,0.27000000 ,0.17660578 ,0.00000000 ,0.55339422 
0.00000000 ,C2稳健型(25-40),新客户,女,0.27000000 ,0.00601568 ,0.04371494 ,0.68026938 
0.00000000 ,C2稳健型(25-40),新客户,女,0.27000000 ,0.00000013 ,0.19939487 ,0.53060500 
0.00000000 ,C2稳健型(25-40),新客户,女,0.27000000 ,0.00000000 ,0.43609744 ,0.29390256 
0.00000000 ,C2稳健型(25-40),新客户,女,0.27000000 ,0.03332754 ,0.00338331 ,0.69328915 
0.00000000 ,C2稳健型(25-40),新客户,女,0.27000000 ,0.00000000 ,0.00000000 ,0.73000000 
0.00000000 ,C2稳健型(25-40),增1老客户,男,0.04700000 ,0.66710000 ,0.11910000 ,0.16680000 
0.00000000 ,C2稳健型(25-40),增1老客户,男,0.04700000 ,0.06522688 ,0.88777311 ,0.00000000 
0.00000000 ,C2稳健型(25-40),增1老客户,男,0.04700000 ,0.43161564 ,0.17808963 ,0.34329473 
0.00000000 ,C2稳健型(25-40),增1老客户,男,0.04700000 ,0.23055521 ,0.00000000 ,0.72244479 
0.00000000 ,C2稳健型(25-40),增1老客户,男,0.04700000 ,0.00785334 ,0.05706896 ,0.88807770 
0.00000000 ,C2稳健型(25-40),增1老客户,男,0.04700000 ,0.00000017 ,0.26030590 ,0.69269393 
0.00000000 ,C2稳健型(25-40),增1老客户,男,0.04700000 ,0.00000000 ,0.56931625 ,0.38368375 
0.00000000 ,C2稳健型(25-40),增1老客户,男,0.04700000 ,0.04350841 ,0.00441685 ,0.90507474 
0.00000000 ,C2稳健型(25-40),增1老客户,男,0.04700000 ,0.00000000 ,0.00000000 ,0.95300000 
0.00000000 ,C2稳健型(25-40),增1老客户,女,0.05200000 ,0.66360000 ,0.11850000 ,0.16590000 
0.00000000 ,C2稳健型(25-40),增1老客户,女,0.05200000 ,0.06488466 ,0.88311533 ,0.00000000 
0.00000000 ,C2稳健型(25-40),增1老客户,女,0.05200000 ,0.42935113 ,0.17715527 ,0.34149360 
0.00000000 ,C2稳健型(25-40),增1老客户,女,0.05200000 ,0.22934559 ,0.00000000 ,0.71865441 
