,kmrd_std_total,kmrd_year_rate,kmrd_maxdown,nofee_kmrd_std_total,nofee_kmrd_year_rate,nofee_kmrd_maxdown,betago_std_total,betago_year_rate,betago_maxdown,nofee_betago_std_total,nofee_betago_year_rate,nofee_betago_maxdown,sz_std_total,sz_year_rate,sz_maxdown,nofee_sz_std_total,nofee_sz_year_rate,nofee_sz_maxdown
58,0.069783572,0.177429538,0.025439646,0.068805251,0.191790194,0.025319201,0.058864638,0.177644133,0.021615616,0.05651413,0.218493003,0.021514814,0.052385977,0.250184896,0.019278438,0.051291741,0.263827519,0.019192162
59,0.020589089,-0.01225154,0.010796717,0.018753198,0.002109116,0.010745338,0.000571523,0.029966301,0,0.000571523,0.029966301,0,0.035516139,0.144221593,0.00844277,0.034749527,0.154274052,0.008414763
60,0.020589089,-0.01225154,0.010796717,0.018753198,0.002109116,0.010745338,0.000571523,0.029966301,0,0.000571523,0.029966301,0,0.035516139,0.144221593,0.00844277,0.034749527,0.154274052,0.008414763
61,0.022063727,-0.010109595,0.009434358,0.020340327,0.004251061,0.009389352,0.045433141,-0.002121232,0.019846837,0.036347735,0.111332027,0.011991577,0.035516139,0.144221593,0.00844277,0.034749527,0.154274052,0.008414763
62,0.069779435,0.177415266,0.025437555,0.068801104,0.191775922,0.02531712,0.058864638,0.177644133,0.021615616,0.05651413,0.218493003,0.021514814,0.052385977,0.250184896,0.019278438,0.051291741,0.263827519,0.019192162
63,0.069779446,0.177414158,0.025437796,0.068801116,0.191774814,0.025317359,0.037657063,0.084139172,0.016970415,0.036407551,0.098499828,0.016890439,0.052385977,0.250184896,0.019278438,0.051291741,0.263827519,0.019192162
64,0.022067957,-0.010090025,0.009423325,0.020344816,0.00427063,0.009378372,0.000571523,0.029966301,0,0.000571523,0.029966301,0,0.035516139,0.144221593,0.00844277,0.034749527,0.154274052,0.008414763
65,0.000155073,0.024375403,0,0.000155073,0.024375403,0,0.000571523,0.029966301,0,0.000571523,0.029966301,0,0.028749472,0.109864455,0.006407784,0.028093673,0.118480849,0.006389391
66,0.028860232,0.038294427,0.011524009,0.027405038,0.052655082,0.011469246,0.034309646,0.055864894,0.014396533,0.033015664,0.070225549,0.014328507,0.056917894,0.202978352,0.01393559,0.0560723,0.215184909,0.01387961
67,0.060613916,0.173011978,0.024324814,0.05958525,0.187372634,0.024210201,0.058864638,0.177644133,0.021615616,0.05651413,0.218493003,0.021514814,0.052385977,0.250184896,0.019278438,0.051291741,0.263827519,0.019192162
